Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions,,SrcType encoding
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:124:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:148:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:150:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:747:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:749:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:747:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:749:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:747:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:749:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:747:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:749:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:747:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:749:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:747:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:749:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/err/err.c:1013:5,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/err/err.c:1013:5,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/evp/p_lib.c:412:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/evp/p_lib.c:412:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/evp/pmeth_lib.c:343:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/cryptlib.c:494:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/x509/x509_lu.c:90:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/x509/x509_lu.c:90:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/x509/x509_lu.c:90:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
../deps/openssl/openssl/crypto/ec/ec_lib.c:737:9,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
/usr/lib/gcc/x86_64-linux-gnu/5.4.0/../../../../include/c++/5.4.0/bits/shared_ptr_base.h:150:6,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
/usr/lib/gcc/x86_64-linux-gnu/5.4.0/../../../../include/c++/5.4.0/bits/shared_ptr_base.h:167:10,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
/usr/lib/gcc/x86_64-linux-gnu/5.4.0/../../../../include/c++/5.4.0/bits/shared_ptr_base.h:150:6,,,,1,,,5751,5751,12545,32478,,,810,810,1956,6300,,60
