Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
module.c:3427:13,,,,3,,,1,1,2437,2880,,,0,0,0,0
module.c:3434:13,,,,1,,,54,54,1266,2880,,,0,0,0,0
module.c:3683:9,,,,3,,,1,1,2437,2880,,,0,0,0,0
defrag.c:378:21,,,,2,,,14,16,1994,2880,,,0,0,0,0
async.c:458:17,,,,1,,,54,54,1266,2880,,,0,0,0,0
./dict.c:248:9,,,,1,,,28,28,1266,2880,,,0,0,0,0
./dict.c:251:13,,,,3,,,7,7,2437,2880,,,0,0,0,0
./dict.c:188:9,,,,1,,,28,28,1266,2880,,,0,0,0,0
./dict.c:193:13,,,,3,,,7,7,2437,2880,,,0,0,0,0
./dict.c:200:13,,,,2,,,11,11,1994,2880,,,0,0,0,0
./dict.c:201:13,,,,2,,,11,11,1994,2880,,,0,0,0,0
async.c:269:9,,,,3,,,9,9,2437,2880,,,0,0,0,0
async.c:470:13,,,,1,,,54,54,1266,2880,,,0,0,0,0
async.c:482:13,,,,1,,,54,54,1266,2880,,,0,0,0,0
async.c:502:28,,,,2,,,66,66,1994,2880,,,0,0,0,0
async.c:509:24,,,,2,,,66,66,1994,2880,,,0,0,0,0
async.c:532:9,,,,1,,,54,54,1266,2880,,,0,0,0,0
async.c:555:13,,,,1,,,54,54,1266,2880,,,0,0,0,0
async.c:557:13,,,,1,,,54,54,1266,2880,,,0,0,0,0
async.c:560:9,,,,1,,,54,54,1266,2880,,,0,0,0,0
async.c:303:5,,,,1,,,54,54,1266,2880,,,0,0,0,0
async.c:309:13,,,,2,,,66,66,1994,2880,,,0,0,0,0
async.c:311:13,,,,2,,,66,66,1994,2880,,,0,0,0,0
async.c:645:5,,,,1,,,54,54,1266,2880,,,0,0,0,0
./dict.c:223:13,,,,2,,,11,11,1994,2880,,,0,0,0,0
./dict.c:224:13,,,,2,,,11,11,1994,2880,,,0,0,0,0
./dict.c:328:9,,,,1,,,28,28,1266,2880,,,0,0,0,0
./dict.c:332:13,,,,3,,,7,7,2437,2880,,,0,0,0,0
./dict.c:150:5,,,,2,,,14,16,1994,2880,,,0,0,0,0
./dict.c:151:5,,,,2,,,14,16,1994,2880,,,0,0,0,0
./dict.c:176:5,,,,2,,,14,16,1994,2880,,,0,0,0,0
./dict.c:177:5,,,,2,,,11,11,1994,2880,,,0,0,0,0
./dict.c:118:17,,,,1,,,28,28,1266,2880,,,0,0,0,0
read.c:439:9,,,,1,,,54,54,1266,2880,,,0,0,0,0
read.c:50:9,,,,1,,,54,54,1266,2880,,,0,0,0,0
read.c:224:23,,,,2,,,4,11,1994,2880,,,0,0,0,0
read.c:230:23,,,,3,,,2,5,2437,2880,,,0,0,0,0
read.c:267:23,,,,1,,,15,60,1266,2880,,,0,0,0,0
read.c:276:27,,,,3,,,2,5,2437,2880,,,0,0,0,0
read.c:322:23,,,,1,,,15,60,1266,2880,,,0,0,0,0
read.c:334:23,,,,2,,,8,16,1994,2880,,,0,0,0,0
