Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
src/core/ngx_resolver.c:2620:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:2858:21,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:3187:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:3323:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:3323:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4443:9,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_resolver.c:1300:9,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/core/ngx_resolver.c:1546:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/core/ngx_open_file_cache.c:1084:12,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_open_file_cache.c:997:9,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_open_file_cache.c:1084:12,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_syslog.c:285:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/core/ngx_syslog.c:289:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/event/ngx_event.c:242:12,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:271:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:285:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:295:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:309:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:317:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:349:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:364:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:374:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:388:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:396:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:941:54,,,,1,,,44,50,422,1270,,,0,0,0,0
src/event/ngx_event.c:969:18,,,,2,,,9,9,719,1270,,,0,0,0,0
src/event/ngx_event.c:619:13,,,,2,,,16,16,719,1270,,,0,0,0,0
src/event/ngx_event.c:773:21,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:827:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event.c:856:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event_timer.c:94:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/event/ngx_event_posted.c:33:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/event/ngx_event_accept.c:700:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event_accept.c:738:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event_accept.c:304:17,,,,1,,,149,149,422,1270,,,0,0,0,0
src/event/ngx_event_accept.c:313:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/event/ngx_event_accept.c:700:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event_accept.c:634:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/event/ngx_event_accept.c:700:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event_accept.c:738:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event_connect.c:34:10,,,,2,,,15,15,719,1270,,,0,0,0,0
src/event/ngx_event_connect.c:185:13,,,,1,,,149,149,422,1270,,,0,0,0,0
src/event/ngx_event_connect.c:288:9,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event_connect.c:296:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/event/ngx_event_pipe.c:547:22,,,,2,,,4,4,719,1270,,,0,0,0,0
src/event/ngx_event_pipe.c:569:22,,,,2,,,4,4,719,1270,,,0,0,0,0
src/event/ngx_event_pipe.c:690:14,,,,2,,,4,4,719,1270,,,0,0,0,0
src/event/ngx_event_pipe.c:304:17,,,,3,,,125,125,1172,1270,,,0,0,0,0
src/event/ngx_event_pipe.c:352:21,,,,2,,,75,75,719,1270,,,0,0,0,0
src/event/ngx_event_pipe.c:449:17,,,,2,,,75,75,719,1270,,,0,0,0,0
src/event/ngx_event_pipe.c:466:13,,,,2,,,75,75,719,1270,,,0,0,0,0
src/os/unix/ngx_channel.c:227:13,,,,1,,,149,149,422,1270,,,0,0,0,0
src/os/unix/ngx_channel.c:233:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/os/unix/ngx_process.c:198:9,,,,2,,,5,5,719,1270,,,0,0,0,0
src/os/unix/ngx_process_cycle.c:299:17,,,,1,,,149,149,422,1270,,,0,0,0,0
